#Gene Name	Gene ID	LSV ID	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	CONTROL E(PSI)	BORIS E(PSI)	LSV Type	A5SS	A3SS	ES	Num. Junctions	Num. Exons	De Novo Junctions	chr	strand	Junctions coords	Exons coords	IR coords	UCSC LSV Link
D2HGDH	ENSG00000180902.18	ENSG00000180902.18:s:241744709-241744877	-9.1368269760767e-06;0.24441988295302866;-0.020834364814131343;-0.020711302791746995;-0.026658409156756976;-0.06220186765301894;-0.01069209675461092	4.714822902170173e-21;0.7085306174576016;0.005228890858265469;0.0002313598468853886;0.0005525231116131698;0.002245681813625308;0.0009759437113665061	0.05452947529381236;3.3435374557594335e-06;0.0005025293860018154;0.0010470314344256382;0.0007468288308004611;0.0004255586710384396;0.0008817417056403709	0.002;0.155;0.339;0.093;0.104;0.106;0.198	0.001;0.425;0.288;0.051;0.051;0.011;0.173	s|1e1.1o5|1e1.4o5|1e2.2o2|1e3.2o2|1e4.1o1|1e5.1o2|i	False	True	True	7	6	1;1;1;0;1;0;0	chr2	+	241744877-241748827;241744877-241748865;241744877-241750151;241744877-241754631;241744877-241755849;241744877-241767710;241744878-241748826	241744709-241744877;241748827-241748942;241750099-241750579;241754521-241754746;241755849-241756014;241767710-241768816	241744878-241748826	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr2%3A241768816-241744709
CORO7-PAM16	ENSG00000103426.12	ENSG00000103426.12:s:4344648-4344764	-0.07179518363674223;-0.006192021715315279;-0.005471490913582169;-0.01564557724885939;-0.029813732243572404;-0.06166394289021601;-0.09582843842917357;-0.011446436152079376;0.46096110526815026	0.010794095107111054;1.0059704586683842e-08;1.762640451624106e-06;1.5485547140691022e-05;6.241620717145094e-06;0.002550768917470256;0.05048035179300865;7.284139477710013e-08;0.9999103762999014	0.0001773418332631227;0.018944762400535886;0.00398179585949987;0.002391235922279411;0.002269937470560257;0.00032162144587888353;8.890537284689248e-05;0.01033236788223646;1.8691901153165208e-16	0.191;0.043;0.085;0.111;0.076;0.162;0.277;0.052;0.001	0.095;0.009;0.067;0.078;0.036;0.075;0.150;0.006;0.486	s|1e1.1o1|2e2.1o1|3e3.1o1|4e4.1o1|5e4.1o1|6e5.1o1|7e6.1o1|8e7.1o1|i	True	False	True	9	8	0;0;0;0;0;0;0;0;0	chr16	-	4344615-4344757;4344429-4344754;4344532-4344746;4344615-4344739;4344615-4344703;4344613-4344702;4344615-4344667;4344613-4344648;4343617-4344647	nan-4344429;nan-4344532;nan-4344613;nan-4344615;4344648-4344764	4343617-4344647	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A4344764-4344419
AL031320.2	ENSG00000278206.1	ENSG00000278206.1:t:143505970-143507327	-0.00044498962625084916;0.07820350369287124;0.0957430812759688;-0.22317181420612006	9.17540861944783e-06;0.02525523565394584;0.13277658623870206;0.5814776622557629	0.0032031900389134504;0.00019342719974428798;8.158040511219242e-05;2.0339169672700663e-05	0.009;0.009;0.081;0.901	0.005;0.136;0.245;0.613	t|1e1.1o1|2e2.1o1|2e3.1o2|i	False	True	True	4	4	1;0;0;0	chr6	+	143505457-143505970;143502565-143507237;143504085-143507237;143505458-143505969	nan-143502565;143503913-143504142;143505340-143505457;143505970-143507327	143505458-143505969	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr6%3A143507327-143502555
ZBTB8OS	ENSG00000176261.15	ENSG00000176261.15:s:32633645-32633727	0.00035119079185865295;9.52181366744947e-05;-0.3802975643449078;0.37896119779032345	2.622711093095717e-07;1.6576950091619233e-08;0.9653435688731055;0.970762222142149	0.017805302556381797;0.03228700290060843;9.60405381456031e-06;6.079624980594865e-06	0.029;0.016;0.798;0.156	0.030;0.017;0.412;0.543	s|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1	False	False	True	4	5	1;1;1;1	chr1	-	32633354-32633645;32632345-32633645;32631879-32633645;32627544-32633645	32627508-32627544;32631825-32632058;32632208-32632345;32633262-32633354;32633645-32633727		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A32633727-32627508
AC133555.6	ENSG00000288632.1	ENSG00000288632.1:t:29566086-29566249	0.20120456731597863;-0.20120459620279907	0.5117611915161929;0.5117612281833073	0.0001384210177272486;0.0001384281800729248	0.200;0.800	0.466;0.534	t|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr16	-	29566249-29613103;29566249-29569271	29566086-29566249;29569271-29569328;29613103-29613717		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A29613717-29566086
ZNF785	ENSG00000197162.10	ENSG00000197162.10:s:30585368-30585769	0.24207050752946654;-0.0006638459208804473;-0.23721737474374205	0.6081040301181752;1.8103124111892146e-05;0.5961986087129104	0.00013909092560032612;0.004801599460803052;0.00013861279008364757	0.557;0.013;0.430	0.869;0.008;0.123	s|1e1.1o1|2e1.1o1|3e1.1o1	True	False	False	3	2	1;1;0	chr16	-	30585250-30585407;30585250-30585376;30585250-30585368	30585122-30585250;30585368-30585769		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr16%3A30585769-30585122
POU6F1	ENSG00000184271.17	ENSG00000184271.17:s:51204173-51204368	-0.17558230655803703;-0.00770749694608371;-0.0008173716419338933;0.24935793258622324	0.4247754077577412;0.0018196780805786617;5.979221670715906e-05;0.6951157304535883	3.980031544137397e-05;0.0009865015906551644;0.001938789221396564;4.4139153844417625e-06	0.909;0.065;0.013;0.013	0.642;0.036;0.007;0.315	s|1e1.1o2|1e1.2o2|1e2.1o2|i	False	True	True	4	3	1;1;1;0	chr12	-	51199868-51204173;51199863-51204173;51198686-51204173;51199869-51204172	51198550-51198686;51199747-51199868;51204173-51204368	51199869-51204172	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A51204368-51198550
PORCN	ENSG00000102312.23	ENSG00000102312.23:s:48509784-48509956	-0.20720288994768904;0.21147036113008744;-0.0002070238834201277	0.5389222945110191;0.5571556687625643;2.2808828984924582e-06	7.089357653555783e-05;5.6666118250019994e-05;0.007804543152516441	0.953;0.038;0.009	0.700;0.292;0.008	s|1e1.1o2|1e1.2o2|1e2.1o1	False	True	True	3	3	1;1;1	chrX	+	48509956-48511295;48509956-48511366;48509956-48511892	48509784-48509956;48511295-48511487;48511892-48511935		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chrX%3A48511935-48509784
TUBGCP2	ENSG00000130640.13	ENSG00000130640.13:s:133311620-133312337	-0.3605662960394441;-0.0004151593399694067;0.3627491526170552	0.8640041821887187;8.410464790034121e-05;0.8826537057689764	8.975479508621653e-06;0.0018930986491583202;4.830176271787632e-06	0.968;0.016;0.016	0.572;0.013;0.414	s|1e1.1o1|2e2.2o2|i	True	False	True	3	3	0;1;0	chr10	-	133310288-133311721;133302980-133311620;133309157-133311619	nan-133310288;133301701-133302981;133311620-133312337	133309157-133311619	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr10%3A133312337-133301701
GZF1	ENSG00000125812.16	ENSG00000125812.16:t:23364363-23364529	0.22770669941406882;-0.2277066785191567	0.600320604331345;0.6003204620098851	7.197730546311767e-05;7.198099165683924e-05	0.685;0.315	0.975;0.025	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr20	+	23362237-23364363;23363317-23364363	23362182-23362237;23363221-23363317;23364363-23364529		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr20%3A23364529-23362182
TEP1	ENSG00000129566.13	ENSG00000129566.13:s:20381913-20382063	0.3397187083763766;-0.3397187245069394	0.8287888150404401;0.8287888225697819	9.2096319346363e-05;9.210091516687058e-05	0.367;0.633	0.749;0.251	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr14	-	20381686-20381913;20381401-20381913	20381313-20381401;20381553-20381686;20381913-20382063		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A20382063-20381313
ZNF107	ENSG00000196247.11	ENSG00000196247.11:s:64683946-64684205	-0.21761788628367784;0.2176178611194499	0.5675241643625788;0.5675241441467225	1.5547437712037926e-05;1.5546768755821496e-05	0.667;0.333	0.394;0.606	s|1e1.1o1|i	False	False	False	2	2	0;0	chr7	+	64684205-64684335;64684206-64689354	64683946-64684205;64684335-nan	64684206-64689354	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A64684345-64683946
PRR5	ENSG00000186654.21	ENSG00000186654.21:t:44731679-44731821	-8.856866890439037e-05;0.3082863293525575;-0.20994295205144692;-0.043921833541271306	1.2060693761538632e-06;0.7976721168510227;0.5345100459564679;0.03178221449705307	0.00843048374072164;7.310037929087593e-05;5.27623713639791e-05;0.0005971966653633975	0.007;0.507;0.283;0.201	0.006;0.860;0.030;0.103	t|1e1.1o1|2e1.1o1|2e2.2o2|3e3.1o1	False	True	True	4	4	1;1;1;1	chr22	+	44726634-44731679;44726634-44731730;44731004-44731730;44726634-44731735	44726577-44726634;44730610-44731004;44731679-44731821		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr22%3A44731821-44726577
ERC1	ENSG00000082805.20	ENSG00000082805.20:t:1115624-1116201	-0.23250958939957375;0.22801079906733696;0.00020924147191312943	0.6400138956260422;0.6185105238384114;4.3461012129759526e-06	5.618315136746155e-05;7.007910331453674e-05;0.006683981926481175	0.319;0.672;0.009	0.041;0.949;0.010	t|1e1.1o1|1e2.1o2|1e2.2o2	True	False	True	3	3	1;1;1	chr12	+	1110347-1115866;1112298-1115866;1112307-1115866	1110192-1110347;1112215-1112307;1115624-1116201		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A1116201-1110192
ERC1	ENSG00000082805.20	ENSG00000082805.20:s:1110192-1110347	0.22014075313384435;-0.2201407522982897	0.5933868468448518;0.5933866377491201	3.2077592501721844e-05;3.207932708626515e-05	0.718;0.282	0.969;0.031	s|1e1.1o1|1e2.2o2	False	False	True	2	3	1;1	chr12	+	1110347-1112215;1110347-1115866	1110192-1110347;1112215-1112307;1115624-1116201		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr12%3A1116201-1110192
CR1L	ENSG00000197721.17	ENSG00000197721.17:t:207694353-207694751	0.22866538632727607;-0.39738414723159354;0.06470865140203039	0.5955491048750867;0.8921851866727476;0.07725594191700338	0.00013703947117831537;9.736312985164641e-05;0.0004227779691595296	0.098;0.804;0.098	0.400;0.372;0.231	t|1e1.1o2|1e2.1o1|1e3.1o1	False	False	True	3	4	1;0;0	chr1	+	207683957-207694353;207686940-207694353;207691999-207694353	nan-207691999;207683872-207684036;207686791-207686940;207694353-207694751		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A207694751-207683872
CR1L	ENSG00000197721.17	ENSG00000197721.17:s:207699189-207699274	-0.20745359920004064;0.20745355886136074	0.5178513333409999;0.5178514412653129	0.00015952013228814899;0.0001595118705433607	0.528;0.472	0.245;0.755	s|1e1.1o1|1e2.1o1	False	False	True	2	3	0;1	chr1	+	207699274-207699784;207699274-207701519	207699189-207699274;207699784-207699847;207701519-207701618		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A207701618-207699189
YBX1	ENSG00000065978.19	ENSG00000065978.19:t:42700776-42701046	7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;0.15234096982544634;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;7.771559912558427e-16;5.04181177122624e-06;7.771559912558427e-16;7.771559912558427e-16;0.035102694462508;7.771559912558427e-16;-0.390658361010356;7.771559912558427e-16;0.04374275719140057	4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;0.05771891653798222;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.711629488223859e-21;4.712588815141763e-21;4.711629488223859e-21;4.711629488223859e-21;1.137117153559882e-20;4.711629488223859e-21;1.0;4.711629488223859e-21;1.2961470454246751e-20	0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;2.626167339660551e-17;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.9999999968888909;0.4750296335514128;0.9999999968888909;0.9999999968888909;0.47500000134305365;0.9999999968888909;0.0;0.9999999968888909;0.4746316725201686	0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.976;0.000;0.024	0.003;0.003;0.003;0.003;0.008;0.179;0.011;0.002;0.012;0.008;0.008;0.005;0.032;0.005;0.002;0.055;0.005;0.585;0.002;0.064	t|1e1.8o15|2e1.4o15|2e1.5o15|2e1.6o15|2e1.8o15|2e1.10o15|3e1.7o15|3e1.9o15|4e1.11o15|4e1.12o15|5e1.10o15|5e1.13o15|6e2.1o1|6e3.1o1|6e4.1o2|6e4.2o2|6e5.1o15|6e5.14o15|6e5.15o15|i	True	True	True	20	6	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0	chr1	+	42697250-42700776;42697237-42700777;42697240-42700777;42697246-42700777;42697250-42700777;42697252-42700777;42697249-42700778;42697251-42700778;42697253-42700779;42697254-42700779;42697252-42700780;42697255-42700780;42683466-42700781;42693523-42700781;42696856-42700781;42696944-42700781;42697210-42700781;42697262-42700781;42697499-42700781;42697500-42700776	42683403-42683466;42693490-42693523;42696642-42696944;42697180-42697499;42700776-42701046	42697500-42700776	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A42701046-42683403
TAMM41	ENSG00000144559.10	ENSG00000144559.10:s:11846502-11846919	-0.20745805569104586;0.20745801916785167	0.5380261025123582;0.5380261891190632	7.694853759732112e-05;7.694424878584147e-05	0.403;0.597	0.154;0.846	s|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr3	-	11845096-11846502;11844211-11846502	11843539-11844211;11844891-11845096;11846502-11846919		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A11846919-11843539
UQCRC1	ENSG00000010256.11	ENSG00000010256.11:s:48609497-48610005	0.21710047432744736;-0.20016033265650204;-0.001152764251470889;-0.001152764251470889	0.521355995276945;0.4638012797936284;0.0001138978562043645;0.0001138978562043645	0.00012625554695490078;0.0001281460566397996;0.0028521324546985083;0.0028521324546985083	0.663;0.307;0.015;0.015	0.958;0.030;0.006;0.006	s|1e1.1o1|1e2.1o1|2e2.1o1|3e3.1o1	True	False	True	4	4	1;0;1;1	chr3	-	48609302-48609552;48605856-48609552;48605856-48609547;48609302-48609497	48605770-48605856;48609162-48609302;48609497-48610005		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr3%3A48610005-48605770
SLC38A6	ENSG00000139974.16	ENSG00000139974.16:t:61078810-61078927	-0.11567990635427257;-8.422667729098751e-05;-0.09654761259239032;0.3190573898837883;-8.422667729098751e-05;0.005923264256073244	0.10604491036521542;7.834967363486796e-07;0.1787173661508054;0.9191147150377651;7.834967363486796e-07;0.013469922723801497	7.423689609609152e-05;0.005318367754058917;9.531508010407475e-05;1.3890428789849363e-07;0.005318367754058917;0.00039212868629617814	0.175;0.005;0.516;0.005;0.005;0.295	0.004;0.004;0.317;0.357;0.004;0.311	t|1e1.1o1|1e2.6o6|2e3.1o1|2e4.6o6|2e5.1o1|i	False	True	True	6	6	1;1;1;0;1;0	chr14	+	61052135-61078810;61052985-61078810;61052135-61078830;61052985-61078830;61073941-61078830;61073942-61078809	61052006-61052135;61052349-61052985;61073848-61073941;61078810-61078927	61073942-61078809	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr14%3A61078927-61052006
IQUB	ENSG00000164675.11	ENSG00000164675.11:t:123469214-123469384	0.2447393197331484;-0.24473927318343858	0.6633297833590287;0.6633296829971715	0.000108896521959655;0.00010890135873553586	0.036;0.964	0.351;0.649	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr7	-	123469384-123496696;123469384-123479795	123469214-123469384;123479795-123479970;123496696-123496906		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr7%3A123496906-123469214
ZNF573	ENSG00000189144.14	ENSG00000189144.14:t:37771564-37771696	0.00010548363945998954;-0.12482114490818713;0.22270380123664796;-0.09174337854549389;0.0030100982884000765	2.5741129711980875e-07;0.13730838636894;0.5977906599653764;0.08108289982249035;1.5300794243682544e-05	0.01155645352766091;0.0001370080673237517;8.71366026702282e-05;0.000262637742993177;0.005307744969505906	0.004;0.192;0.607;0.193;0.004	0.005;0.030;0.882;0.054;0.030	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|2e5.1o1	False	True	True	5	6	1;1;1;1;1	chr19	-	37771696-37817061;37771696-37779544;37771696-37773661;37771696-37772938;37771690-37773661	37771564-37771696;37772938-37772982;37773661-37773751;37779544-37779878;37817061-37817300		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A37817300-37771564
ZNF573	ENSG00000189144.14	ENSG00000189144.14:t:37770005-37770097	-0.050692682235142596;0.34367438579308535;-0.22612955525769513	0.030699058588702227;0.8844426403770319;0.6104198668623186	0.0005233552156571619;4.7400322539267606e-05;7.374296218887189e-05	0.199;0.436;0.368	0.097;0.807;0.097	t|1e1.1o1|1e2.1o1|1e3.1o1	False	False	True	3	4	1;1;1	chr19	-	37770097-37773661;37770097-37771564;37770097-37770407	37770005-37770097;37770407-37770597;37771564-37771696;37773661-37773751		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A37773751-37770005
AL732372.2	ENSG00000237094.12	ENSG00000237094.12:s:511946-512135	-0.5044822197317258;0.5044822925013761	0.9916650610319571;0.9916650420381984	4.162498011273108e-06;4.162409164404091e-06	0.973;0.027	0.469;0.531	s|1e1.1o1|i	False	False	False	2	2	0;0	chr1	-	507669-511946;505104-511945	nan-507669;511946-512135	505104-511945	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A512135-507659
LIPC	ENSG00000166035.11	ENSG00000166035.11:s:58542534-58542651	-0.25684823811145285;0.2568481905913462	0.6527047010786768;0.6527046074873748	2.129381307580669e-05;2.1292968333922716e-05	0.721;0.279	0.401;0.599	s|1e1.1o1|i	False	False	False	2	2	1;0	chr15	+	58542651-58545742;58542652-58545741	58542534-58542651;58545742-58545975	58542652-58545741	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A58545975-58542534
VWA8	ENSG00000102763.18	ENSG00000102763.18:s:41691874-41691938	0.24480629221862973;-0.2448062877687495	0.7028829831013902;0.702882860992751	3.70843554684316e-05;3.7086337336900144e-05	0.157;0.843	0.432;0.568	s|1e1.1o2|1e1.2o2	False	True	False	2	2	0;1	chr13	-	41691467-41691874;41691445-41691874	41691320-41691467;41691874-41691938		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr13%3A41691938-41691320
KMT2A	ENSG00000118058.23	ENSG00000118058.23:s:118436490-118436944	0.22810255190272485;-0.03536554143551213;-0.08250015624760161	0.647977851214744;0.03228324534866532;0.1378831968135951	3.633600509206486e-05;0.0006650261179043104;0.0003794259812018863	0.037;0.314;0.648	0.296;0.223;0.480	s|1e1.2o3|1e2.1o1|1e3.2o2	False	False	True	3	4	1;1;1	chr11	+	118436944-118439024;118436944-118447625;118436944-118468775	118436490-118436944;118437192-118439173;118447625-118448055;118467551-118469103		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A118469103-118436490
DOCK6	ENSG00000130158.14	ENSG00000130158.14:t:11215611-11216250	-0.21718644427280948;0.2171864662033714	0.5349198976528066;0.534920128641265	6.383517214048062e-05;6.383138914318674e-05	0.295;0.705	0.014;0.986	t|1e1.1o1|2e2.1o2	False	True	True	2	3	0;1	chr19	-	11216250-11219978;11215927-11216914	11215611-11216250;11216676-11217096;11219978-nan		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A11219988-11215611
HERC2P9	ENSG00000206149.10	ENSG00000206149.10:t:28655796-28656026	0.27317072083300115;-0.2731707641398781	0.7415916622221796;0.7415916347603344	6.303258175648291e-05;6.303589353628958e-05	0.565;0.435	0.880;0.120	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr15	+	28655420-28655796;28655691-28655796	28655273-28655420;28655495-28655691;28655796-28656026		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr15%3A28656026-28655273
LIN7B	ENSG00000104863.12	ENSG00000104863.12:t:49116118-49116472	0.22161113240443453;-0.221611177771673	0.5486915371618069;0.5486915849329344	0.00014961416735883356;0.00014962195057732774	0.584;0.416	0.887;0.113	t|1e1.1o2|1e2.1o1	False	False	True	2	3	1;1	chr19	+	49115331-49116263;49116024-49116263	49115226-49115489;49115825-49116024;49116118-49116472		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr19%3A49116472-49115226
TUT4	ENSG00000134744.14	ENSG00000134744.14:t:52526020-52526373	-0.2333893553019339;0.2333893562174849	0.6501012108320918;0.6501012774678508	1.7461771122162517e-05;1.7460871397631247e-05	0.986;0.014	0.709;0.291	t|1e1.1o1|1e2.1o1	False	False	True	2	3	1;1	chr1	-	52526373-52552931;52526373-52529768	52526020-52526373;52529768-52529885;52552931-52553100		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr1%3A52553100-52526020
AC005837.2	ENSG00000267168.1	ENSG00000267168.1:t:76738282-76738522	0.0007269563191221361;0.9651493156067588;-0.9706471138879634	6.481423290294335e-06;0.9999999999999999;1.0	0.0031551123778628828;9.50225573638056e-10;0.00012418867869512518	0.003;0.019;0.979	0.011;0.978;0.011	t|1e1.1o1|1e2.1o1|i	False	False	True	3	3	1;0;0	chr17	+	76733215-76738282;76737918-76738282;76733216-76738281	nan-76737918;76732978-76733215;76738282-76738522	76733216-76738281	http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr17%3A76738522-76732978
SOX6	ENSG00000110693.18	ENSG00000110693.18:t:16341011-16341269	0.1297804372270066;-0.0002341276751000728;-0.0002341276751000728;-0.20543818439902561;0.0008835877516089259;-0.0002341276751000728;-0.0002341276751000728;0.04588256797131482	0.1933015025845672;3.251252751261389e-06;3.251252751261389e-06;0.539517902716971;3.5436969453468e-06;3.251252751261389e-06;3.251252751261389e-06;0.007925225799575504	0.0001445697360013742;0.00542592768819139;0.00542592768819139;0.00012421879088087007;0.010086392340228623;0.00542592768819139;0.00542592768819139;0.0006157186206829264	0.042;0.005;0.005;0.894;0.005;0.005;0.005;0.042	0.216;0.002;0.002;0.627;0.020;0.002;0.002;0.127	t|1e1.2o2|1e2.3o3|1e3.1o1|1e4.1o1|1e5.1o2|1e5.2o2|1e6.1o1|1e7.1o1	True	False	True	8	8	1;1;1;1;1;1;1;1	chr11	-	16341252-16476315;16341252-16465701;16341252-16434144;16341252-16408698;16341252-16402800;16341252-16402659;16341252-16397458;16341252-16382288	16341011-16341269;16382288-16382398;16397458-16397562;16402659-16402867;16408698-16408884;16434144-16434450;16465701-16465816;16476315-16476388		http://genome.ucsc.edu/cgi-bin/hgTracks?db=hg38&position=chr11%3A16476388-16341011
